"region","innvandringskategori","landbakgrunn","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017","Andel av befolkningen (prosent) 2013","Andel av befolkningen (prosent) 2014","Andel av befolkningen (prosent) 2015","Andel av befolkningen (prosent) 2016","Andel av befolkningen (prosent) 2017"
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",22,26,34,26,32,0.07,0.09,0.11,0.09,0.10
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Innvandrere","Danmark",122,118,123,119,118,0.41,0.39,0.41,0.39,0.38
"0101 Halden","Innvandrere","Grønland",0,3,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Innvandrere","Finland",29,29,30,37,44,0.10,0.10,0.10,0.12,0.14
"0101 Halden","Innvandrere","Færøyene",0,0,0,0,3,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Innvandrere","Island",34,32,43,45,40,0.11,0.11,0.14,0.15,0.13
"0101 Halden","Innvandrere","Sverige",362,349,358,377,371,1.21,1.16,1.18,1.23,1.20
"0101 Halden","Innvandrere","Albania",5,5,4,6,7,0.02,0.02,0.01,0.02,0.02
"0101 Halden","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Innvandrere","Belgia",11,11,11,11,10,0.04,0.04,0.04,0.04,0.03
"0101 Halden","Innvandrere","Bosnia-Hercegovina",72,73,73,71,75,0.24,0.24,0.24,0.23,0.24
"0101 Halden","Innvandrere","Bulgaria",8,10,9,9,10,0.03,0.03,0.03,0.03,0.03
"0101 Halden","Innvandrere","Estland",18,18,19,15,17,0.06,0.06,0.06,0.05,0.06
"0101 Halden","Innvandrere","Frankrike",19,23,30,22,28,0.06,0.08,0.10,0.07,0.09
"0101 Halden","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Norskfødte med innvandrerforeldre","Danmark",20,23,22,28,27,0.07,0.08,0.07,0.09,0.09
"0101 Halden","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,3,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Norskfødte med innvandrerforeldre","Island",4,4,4,4,4,0.01,0.01,0.01,0.01,0.01
"0101 Halden","Norskfødte med innvandrerforeldre","Sverige",14,14,16,44,48,0.05,0.05,0.05,0.14,0.16
"0101 Halden","Norskfødte med innvandrerforeldre","Albania",7,8,8,8,8,0.02,0.03,0.03,0.03,0.03
"0101 Halden","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Norskfødte med innvandrerforeldre","Belgia",0,3,0,3,0,0.00,0.01,0.00,0.00,0.00
"0101 Halden","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",16,16,18,16,18,0.05,0.05,0.06,0.05,0.06
"0101 Halden","Norskfødte med innvandrerforeldre","Bulgaria",0,3,3,3,4,0.00,0.01,0.01,0.01,0.01
"0101 Halden","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Norskfødte med innvandrerforeldre","Frankrike",3,3,4,4,4,0.01,0.01,0.01,0.01,0.01
"0101 Halden","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0101 Halden","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0102 Sarpsborg (-1991)","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0103 Fredrikstad (-1993)","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
